motion_id,category,method,track_status,success_current,score,failure_labels,missing_metrics
phone_social_scene__sonic_filtered_230713__cellphone_record_sequence_fast_r_001_a428,phone_social_scene,no_mpc_baseline,tracked,true,-1.310250769,,
phone_social_scene__sonic_filtered_230713__cellphone_record_sequence_fast_r_001_a428,phone_social_scene,best_s128,tracked,true,-1.007846643,stability_regression,
phone_social_scene__sonic_filtered_230713__cellphone_record_sequence_fast_r_001_a428,phone_social_scene,sweetpoint,tracked,true,-0.6313009985,stability_regression,
animal_insect_interaction__sonic_filtered_231110__big_fish_catch_r_002_a500,animal_insect_interaction,no_mpc_baseline,tracked,true,-0.5887335256,,
animal_insect_interaction__sonic_filtered_231110__big_fish_catch_r_002_a500,animal_insect_interaction,best_s128,tracked,true,-0.536804961,stability_regression,
animal_insect_interaction__sonic_filtered_231110__big_fish_catch_r_002_a500,animal_insect_interaction,sweetpoint,tracked,true,-0.5140771225,stability_regression,
other_or_uncategorized__sonic_filtered_231117__rom_box_01_box_02_box_03_box_04_002_a520,other_or_uncategorized,no_mpc_baseline,tracked,true,-0.3171019947,,
other_or_uncategorized__sonic_filtered_231117__rom_box_01_box_02_box_03_box_04_002_a520,other_or_uncategorized,best_s128,tracked,true,-0.3104135657,stability_regression,
other_or_uncategorized__sonic_filtered_231117__rom_box_01_box_02_box_03_box_04_002_a520,other_or_uncategorized,sweetpoint,tracked,true,-0.2989436604,stability_regression,
other_or_uncategorized__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_cmu_06_06_13_poses_motion_seg2__motion,other_or_uncategorized,no_mpc_baseline,failed,true,-5.811378635,root_translation_drift|ee_global_tracking_failure,
other_or_uncategorized__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_cmu_06_06_13_poses_motion_seg2__motion,other_or_uncategorized,best_s128,failed,true,-3.842092201,root_translation_drift|ee_global_tracking_failure|stability_regression,
other_or_uncategorized__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_cmu_06_06_13_poses_motion_seg2__motion,other_or_uncategorized,sweetpoint,borderline,true,-2.613053404,borderline|stability_regression,
