motion_id,category,method,log_path,num_steps,num_windows,status
gesture_emotion_social__sonic_filtered_230103__alone_006_a097,gesture_emotion_social,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/gesture_emotion_social__sonic_filtered_230103__alone_006_a097/sweetpoint.log,307,16,present
gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,gesture_emotion_social,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion/no_mpc_baseline.log,1336,,present
gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,gesture_emotion_social,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion/best_s128.log,1336,67,present
gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,gesture_emotion_social,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion/sweetpoint.log,1336,67,present
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045/no_mpc_baseline.log,128,,present
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045/best_s128.log,128,7,present
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045/sweetpoint.log,128,7,present
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460/no_mpc_baseline.log,581,,present
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460/best_s128.log,581,30,present
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460/sweetpoint.log,581,30,present
