experiment_id,run_id,source_project,motion,method,checkpoint,config_label,seed,status,success,score,root_pos_error_mean,body_global_pos_error_mean,ee_global_pos_error_mean,global_sum,body_local_pos_error_mean,ee_local_pos_error_mean,local_sum,contact_mismatch_rate,control_delta_mean,joint_acc_mean,duration_sec,artifact_ref,notes,category,track_status,failure_labels,num_steps
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion__sweetpoint,spider,dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,sweetpoint,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,sweetpoint,0,complete,true,-2.83397173285,0.194375440478,0.207185551524,0.21939958632,0.620960578322,0.0459524765611,0.0731519535184,0.119104430079,0.296515077353,0.435330301523,197.09954834,,artifacts.md#sweetpoint,metrics_only_no_render;track_status=borderline;failure_labels=borderline|stability_regression,dance,borderline,borderline|stability_regression,1693
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029__no_mpc_baseline,spider,exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,no_mpc_baseline,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,no_mpc_baseline,0,complete,true,-0.768989525549,0.0931338742375,0.0824583470821,0.0701579451561,0.245750166476,0.0364231988788,0.057688832283,0.0941120311618,0.0153664303944,0.0569541715086,23.8522548676,,artifacts.md#no_mpc_baseline,metrics_only_no_render;track_status=tracked,exercise_stretch_warmup,tracked,,846
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029__best_s128,spider,exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,best_s128,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,best_s128,0,complete,true,-0.605111090839,0.0546094030142,0.0497600436211,0.0429518297315,0.147321276367,0.0359817147255,0.056004460901,0.0919861756265,0.0124113475904,0.0833315476775,32.0083885193,,artifacts.md#best_s128,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,exercise_stretch_warmup,tracked,stability_regression,846
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029__sweetpoint,spider,exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,sweetpoint,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,sweetpoint,0,complete,true,-0.581620100141,0.0454097539186,0.0429668948054,0.0409429445863,0.12931959331,0.0352629125118,0.0549762733281,0.0902391858399,0.010047281161,0.0746232494712,28.5389099121,,artifacts.md#sweetpoint,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,exercise_stretch_warmup,tracked,stability_regression,846
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__gesture_emotion_social__sonic_filtered_230103__alone_006_a097__no_mpc_baseline,spider,gesture_emotion_social__sonic_filtered_230103__alone_006_a097,no_mpc_baseline,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,no_mpc_baseline,0,complete,true,-0.502520479821,0.0452088303864,0.0439310260117,0.0392354764044,0.128375332803,0.0380891747773,0.0604879111052,0.0985770858824,0,0.0359140448272,15.0771799088,,artifacts.md#no_mpc_baseline,metrics_only_no_render;track_status=tracked,gesture_emotion_social,tracked,,307
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__gesture_emotion_social__sonic_filtered_230103__alone_006_a097__best_s128,spider,gesture_emotion_social__sonic_filtered_230103__alone_006_a097,best_s128,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,best_s128,0,complete,true,-0.481358219869,0.0417002812028,0.0408707372844,0.0359554514289,0.118526469916,0.0375234819949,0.058879237622,0.0964027196169,0,0.0559585727751,20.4725093842,,artifacts.md#best_s128,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,gesture_emotion_social,tracked,stability_regression,307
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__gesture_emotion_social__sonic_filtered_230103__alone_006_a097__sweetpoint,spider,gesture_emotion_social__sonic_filtered_230103__alone_006_a097,sweetpoint,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,sweetpoint,0,complete,true,-0.493158314563,0.0441553555429,0.0424613021314,0.0374518744648,0.124068532139,0.0378498584032,0.0600424706936,0.0978923290968,0,0.04730996117,18.3396987915,,artifacts.md#sweetpoint,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,gesture_emotion_social,tracked,stability_regression,307
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion__no_mpc_baseline,spider,gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,no_mpc_baseline,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,no_mpc_baseline,0,complete,true,-0.555940569378,0.0547661222517,0.053555637598,0.0470561385155,0.155377898365,0.0198244396597,0.0307074878365,0.0505319274962,0.0149700604379,0.0626777112484,27.1759281158,,artifacts.md#no_mpc_baseline,metrics_only_no_render;track_status=tracked,gesture_emotion_social,tracked,,1336
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion__best_s128,spider,gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,best_s128,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,best_s128,0,complete,true,-0.487984698638,0.0468367747962,0.045046441257,0.0394401401281,0.131323356181,0.0197969414294,0.0302885416895,0.0500854831189,0.00935628823936,0.0865539982915,34.6575775146,,artifacts.md#best_s128,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,gesture_emotion_social,tracked,stability_regression,1336
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion__sweetpoint,spider,gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,sweetpoint,/data_team/junsong/model-based/wbc_results/assets/checkpoints/model_8000.pt,sweetpoint,0,complete,true,-0.500709198788,0.048538159579,0.0452783703804,0.0388729199767,0.132689449936,0.0197771750391,0.0303258523345,0.0501030273736,0.0101047903299,0.0902787670493,35.240650177,,artifacts.md#sweetpoint,metrics_only_no_render;track_status=tracked;failure_labels=stability_regression,gesture_emotion_social,tracked,stability_regression,1336
